iter	Passed	Remaining
0	287	287145
1	568	283859
2	847	281548
3	1129	281142
4	1403	279330
5	1699	281558
6	2017	286180
7	2304	285774
8	2585	284637
9	2893	286470
10	3196	287432
11	3482	286685
12	3779	286940
13	4077	287156
14	4349	285602
15	4648	285895
16	4964	287092
17	5259	286916
18	5541	286129
19	5834	285869
20	6133	285936
21	6404	284719
22	6694	284386
23	7015	285307
24	7310	285105
25	7609	285051
26	7908	285015
27	8203	284766
28	8500	284620
29	8793	284314
30	9099	284421
31	9395	284201
32	9697	284166
33	10007	284323
34	10290	283729
35	10586	283479
36	10867	282858
37	11174	282893
38	11465	282515
39	11772	282542
40	12075	282442
41	12351	281722
42	12637	281259
43	12921	280749
44	13206	280269
45	13483	279629
46	13756	278942
47	14058	278817
48	14337	278264
49	14634	278050
50	14936	277941
51	15226	277590
52	15507	277083
53	15804	276865
54	16113	276852
55	16368	275924
56	16642	275323
57	16963	275504
58	17234	274882
59	17529	274636
60	17815	274249
61	18105	273911
62	18393	273564
63	18684	273254
64	18990	273166
65	19275	272777
66	19574	272587
67	19902	272785
68	20225	272897
69	20528	272738
70	20813	272340
71	21171	272872
72	21485	272837
73	21781	272560
74	22131	272956
75	22425	272650
76	22765	272893
77	23082	272843
78	23382	272603
79	23676	272276
80	23980	272070
81	24268	271693
82	24554	271280
83	24849	270982
84	25138	270612
85	25432	270299
86	25719	269910
87	26020	269666
88	26313	269344
89	26612	269080
90	26914	268851
91	27241	268863
92	27531	268509
93	27816	268101
94	28111	267803
95	28389	267338
96	28686	267050
97	28995	266880
98	29300	266666
99	29603	266435
100	29885	266014
101	30208	265950
102	30487	265507
103	30753	264955
104	31028	264482
105	31304	264023
106	31605	263776
107	31873	263251
108	32156	262860
109	32431	262397
110	32705	261940
111	32986	261536
112	33256	261045
113	33536	260646
114	33827	260323
115	34129	260089
116	34415	259733
117	34717	259497
118	34999	259115
119	35270	258647
120	35553	258274
121	35843	257953
122	36145	257718
123	36415	257257
124	36701	256912
125	37010	256724
126	37302	256415
127	37588	256073
